,H=1.0 [0],H=1.5 [1],H=2.0 [2],H=2.5 [3],H=3.0 [4],H=3.5 [5],H=4.0 [6],H=5.0 [7]
M=0.5 [0],0.08110668510198593,0.08035232871770859,0.08046212792396545,0.08062037825584412,0.08050227910280228,0.08011436462402344,0.07946660369634628,0.07744597643613815
M=0.75 [1],0.05800815299153328,0.056598447263240814,0.05239463597536087,0.04786225035786629,0.04357219114899635,0.03953344002366066,0.03575129806995392,0.02896088734269142
M=1.0 [2],0.07680405676364899,0.0762208104133606,0.07504381984472275,0.07361026108264923,0.0719568133354187,0.07010425627231598,0.06807515770196915,0.06358332931995392
M=1.25 [3],0.10885913670063019,0.1103789359331131,0.10796419531106949,0.10339783877134323,0.09868551045656204,0.09387156367301941,0.08899931609630585,0.07924242317676544
M=1.5 [4],0.10502549260854721,0.10395253449678421,0.09636814892292023,0.08684718608856201,0.07799883186817169,0.06981667876243591,0.06228770688176155,0.04910822957754135
M=1.75 [5],0.09586527198553085,0.09576962888240814,0.09729988127946854,0.09910013526678085,0.10058804601430893,0.10175534337759018,0.10259827226400375,0.10331696271896362
M=2.0 [6],0.09023351967334747,0.08925210684537888,0.0921257883310318,0.09651237726211548,0.10076159983873367,0.10484452545642853,0.10873478651046753,0.11584564298391342
M=2.25 [7],0.10281341522932053,0.10366399586200714,0.10020530968904495,0.09492906928062439,0.08962268382310867,0.08432868868112564,0.07908691465854645,0.06890159100294113
M=2.5 [8],0.058462467044591904,0.058721426874399185,0.061525892466306686,0.06569956988096237,0.06991612166166306,0.0741533413529396,0.07838919758796692,0.0867706909775734
M=2.75 [9],0.09053889662027359,0.09110766649246216,0.09423302859067917,0.0979645624756813,0.10149510204792023,0.10479964315891266,0.10785659402608871,0.1131581962108612
M=3.0 [10],0.06798352301120758,0.06879940629005432,0.07203927636146545,0.07607059925794601,0.08005242794752121,0.08395971357822418,0.08776863664388657,0.09500399976968765
M=3.5 [11],0.06429966539144516,0.06518290936946869,0.07033783942461014,0.07738582789897919,0.08484850823879242,0.09271828085184097,0.10098543763160706,0.11866191029548645
